"H","rho","sigma","est_H_adapted_power","est_rho_adapted_power","est_sigma_adapted_power","est_H_single_power","est_rho_single_power","est_sigma_single_power","est_H_adapted_triangle","est_rho_adapted_triangle","est_sigma_adapted_triangle","est_H_single_triangle","est_rho_single_triangle","est_sigma_single_triangle","est_H_adapted_power_optimal_k","est_rho_adapted_power_optimal_k","est_sigma_adapted_power_optimal_k","est_H_single_power_optimal_k","est_rho_single_power_optimal_k","est_sigma_single_power_optimal_k","est_H_adapted_triangle_optimal_k","est_rho_adapted_triangle_optimal_k","est_sigma_adapted_triangle_optimal_k","est_H_single_triangle_optimal_k","est_rho_single_triangle_optimal_k","est_sigma_single_triangle_optimal_k"
0.33,0.1,1,0.320580741247815,0.119761450570162,17.8155474618546,0.312794236357669,0.119761450570162,16.0195834320977,0.325595090443558,0.119761450570162,19.1748851410625,0.311284946734293,0.119761450570162,15.6162822379677,0.321128202597477,0.119761450570162,20.4448997522761,0.321128202597477,0.119761450570162,20.4448997522761,0.320840999169221,0.119761450570162,20.4508484337777,0.320840999169221,0.119761450570162,20.4508484337777
0.33,0.1,1,0.329852551753253,0.120587479887168,19.8706068137862,0.327860349466757,0.120587479887168,19.3116281251858,0.3352149153405,0.120587479887168,21.3587010627951,0.329173504387311,0.120587479887168,19.624392428334,0.33603334375304,0.120587479887168,19.8590713893774,0.33603334375304,0.120587479887168,19.8590713893774,0.338357652529021,0.120587479887168,19.8162709312562,0.338357652529021,0.120587479887168,19.8162709312562
0.33,0.1,1,0.330017765848398,0.119944381247007,20.2554943520659,0.335167423587716,0.119944381247007,21.7740740852354,0.334670686260506,0.119944381247007,21.555238813819,0.322092476269282,0.119944381247007,18.1578312719451,0.334378595426098,0.119944381247007,20.2256613177752,0.334378595426098,0.119944381247007,20.2256613177752,0.336221213800265,0.119944381247007,20.2068645512063,0.336221213800265,0.119944381247007,20.2068645512063
0.33,0.1,1,0.357437895949737,0.119652293067385,31.1171298586836,0.357437895949737,0.119652293067385,31.1171298586836,0.3599223529324,0.119652293067385,32.2284989758816,0.3599223529324,0.119652293067385,32.2284989758816,0.354374333741066,0.119652293067385,21.1829240343879,0.354374333741066,0.119652293067385,21.1829240343879,0.355671500898633,0.119652293067385,21.1800151785026,0.355671500898633,0.119652293067385,21.1800151785026
0.33,0.1,1,0.338441200174171,0.120096092536374,23.0246410387128,0.338441200174171,0.120096092536374,23.0246410387128,0.335989292919724,0.120096092536374,22.1706618549508,0.335989292919724,0.120096092536374,22.1706618549508,0.336378282408042,0.120096092536374,20.455692431804,0.336378282408042,0.120096092536374,20.455692431804,0.337633304176259,0.120096092536374,20.43888973927,0.337633304176259,0.120096092536374,20.43888973927
0.33,0.1,1,0.330380428641217,0.120091179814161,21.1700479504846,0.316657528354167,0.120091179814161,17.4577509390657,0.336277227945758,0.120091179814161,23.0339280136057,0.33009427202977,0.120091179814161,21.1304527707061,0.335736855458934,0.120091179814161,21.067755422655,0.335736855458934,0.120091179814161,21.067755422655,0.336239037660736,0.120091179814161,21.0601416823059,0.336239037660736,0.120091179814161,21.0601416823059
0.33,0.1,1,0.350537247460601,0.119583697537705,28.3369583840251,0.350537247460601,0.119583697537705,28.3369583840251,0.352147395168745,0.119583697537705,28.9890511691911,0.352147395168745,0.119583697537705,28.9890511691911,0.340523892027365,0.119583697537705,21.3582253791588,0.340523892027365,0.119583697537705,21.3582253791588,0.344154521068094,0.119583697537705,21.3112645680465,0.344154521068094,0.119583697537705,21.3112645680465
0.33,0.1,1,0.351677069796897,0.119726159410897,27.9703726693076,0.339942578378118,0.119726159410897,23.7300266282293,0.354390328990927,0.119726159410897,29.073478989467,0.338042331475318,0.119726159410897,23.1418709409259,0.357235653283385,0.119726159410897,20.5263523204193,0.357235653283385,0.119726159410897,20.5263523204193,0.355966386657395,0.119726159410897,20.5517921199439,0.355966386657395,0.119726159410897,20.5517921199439
0.33,0.1,1,0.309523090778827,0.119847179948914,15.212483989389,0.320901269462051,0.119847179948914,17.8588782462626,0.311757132464981,0.119847179948914,15.6970751647607,0.321788840430196,0.119847179948914,17.9531623121054,0.313297964916871,0.119847179948914,20.3191119236196,0.313297964916871,0.119847179948914,20.3191119236196,0.315800439761069,0.119847179948914,20.2690659382691,0.315800439761069,0.119847179948914,20.2690659382691
0.33,0.1,1,0.303045531896305,0.11945858503965,13.3896788486278,0.303045531896305,0.11945858503965,13.3896788486278,0.31088845031363,0.11945858503965,14.910357479193,0.31088845031363,0.11945858503965,14.910357479193,0.319526036808895,0.11945858503965,19.5307869081972,0.319526036808895,0.11945858503965,19.5307869081972,0.320460145732999,0.11945858503965,19.5113428601059,0.320460145732999,0.11945858503965,19.5113428601059
0.33,0.1,1,0.338910092405858,0.119824601955998,23.2949883683165,0.340969239910834,0.119824601955998,23.9593412061764,0.342686629190215,0.119824601955998,24.5604821383914,0.341571415192448,0.119824601955998,24.199850948974,0.338480399883229,0.119824601955998,20.6002247614917,0.338480399883229,0.119824601955998,20.6002247614917,0.340047403234994,0.119824601955998,20.5776860988524,0.340047403234994,0.119824601955998,20.5776860988524
0.33,0.1,1,0.339567188472213,0.119619057311941,22.9553006322765,0.328915140935728,0.119619057311941,19.7875285607783,0.336319853664639,0.119619057311941,21.9965963420351,0.320085840469128,0.119619057311941,17.479249672923,0.342429473092261,0.119619057311941,20.0241258636589,0.342429473092261,0.119619057311941,20.0241258636589,0.341794914318182,0.119619057311941,20.0407261250363,0.341794914318182,0.119619057311941,20.0407261250363
0.33,0.1,1,0.346190476016083,0.119740013728168,28.1223747467379,0.330477296580673,0.119740013728168,22.3814075776066,0.345157278303454,0.119740013728168,27.7952959587925,0.304846798400543,0.119740013728168,15.3922227792413,0.365022952730196,0.119740013728168,22.1350083649816,0.365022952730196,0.119740013728168,22.1350083649816,0.362498568724789,0.119740013728168,22.1524988649579,0.362498568724789,0.119740013728168,22.1524988649579
0.33,0.1,1,0.302669972744966,0.120215254873527,14.2039340114428,0.324899063114594,0.120215254873527,19.3587393734895,0.302904059130953,0.120215254873527,14.2438757416246,0.325312994542177,0.120215254873527,19.5077050579908,0.305219596921862,0.120215254873527,21.0127576628661,0.305219596921862,0.120215254873527,21.0127576628661,0.304454131537851,0.120215254873527,21.0284372304238,0.304454131537851,0.120215254873527,21.0284372304238
0.33,0.1,1,0.324402246783983,0.119567089015111,19.2346497756739,0.324402246783983,0.119567089015111,19.2346497756739,0.329435876867577,0.119567089015111,20.5710555399868,0.335233199966513,0.119567089015111,22.3594813948154,0.333849677428531,0.119567089015111,20.7688561916367,0.333849677428531,0.119567089015111,20.7688561916367,0.334765678787331,0.119567089015111,20.7595146857727,0.334765678787331,0.119567089015111,20.7595146857727
0.33,0.1,1,0.331721125541874,0.120080743100725,21.1786562158233,0.318988379014803,0.120080743100725,17.7614340484029,0.334651486921032,0.120080743100725,22.0917963279245,0.328992839972358,0.120080743100725,20.4623319227254,0.334469001220753,0.120080743100725,20.725833247916,0.334469001220753,0.120080743100725,20.725833247916,0.338349448495132,0.120080743100725,20.6952615739379,0.338349448495132,0.120080743100725,20.6952615739379
0.33,0.1,1,0.355574265699871,0.11979056396077,29.6599557622328,0.355574265699871,0.11979056396077,29.6599557622328,0.356243635590566,0.11979056396077,29.9327413680355,0.356243635590566,0.11979056396077,29.9327413680355,0.346684195481219,0.11979056396077,20.8226672527903,0.346684195481219,0.11979056396077,20.8226672527903,0.347327806157778,0.11979056396077,20.8167847063225,0.347327806157778,0.11979056396077,20.8167847063225
0.33,0.1,1,0.336892946797658,0.119744524464446,24.4642128979917,0.353215177872397,0.119744524464446,30.6846349444118,0.337987045455341,0.119744524464446,24.8387515248011,0.343967829818622,0.119744524464446,26.9777058646914,0.343878276302867,0.119744524464446,22.1891896027207,0.343878276302867,0.119744524464446,22.1891896027207,0.343176188732034,0.119744524464446,22.1947676057806,0.343176188732034,0.119744524464446,22.1947676057806
0.33,0.1,1,0.325693228852896,0.119868093513565,19.8142775917199,0.306076041033069,0.119868093513565,14.9711947700887,0.322950297126761,0.119868093513565,18.9903675517891,0.314765873899771,0.119868093513565,16.9535049834897,0.320572096309642,0.119868093513565,21.1060026315317,0.320572096309642,0.119868093513565,21.1060026315317,0.318343257175905,0.119868093513565,21.1218730805695,0.318343257175905,0.119868093513565,21.1218730805695
0.33,0.1,1,0.375800896155497,0.119569222420604,39.031453143096,0.376158043182858,0.119569222420604,39.3261550563581,0.382840493243536,0.119569222420604,42.9850451143943,0.378925668522978,0.119569222420604,40.7862382945435,0.359623479147048,0.119569222420604,20.6968437950456,0.359623479147048,0.119569222420604,20.6968437950456,0.364904671231459,0.119569222420604,20.6539479774295,0.364904671231459,0.119569222420604,20.6539479774295
